INFO 2026-04-21 12:56:50,288 autoreload 31916 32168 Watching for file changes with StatReloader
WARNING 2026-04-21 13:35:16,879 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:17,031 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:17,032 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:17,248 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:17,248 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:35,984 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:35,985 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:36,178 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:36,178 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:36,379 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:36,380 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:36,558 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:36,558 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:36,728 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:36,728 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:36,947 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:36,947 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:35:37,493 log 28652 29600 Bad Request: /api/auth/login/
WARNING 2026-04-21 13:35:37,493 basehttp 28652 29600 "POST /api/auth/login/ HTTP/1.1" 400 85
WARNING 2026-04-21 13:36:32,347 exceptions 28652 7784 Request Error: LoginView - 405 - Método "GET" no permitido.
WARNING 2026-04-21 13:36:32,354 log 28652 7784 Method Not Allowed: /api/auth/login/
WARNING 2026-04-21 13:36:32,355 basehttp 28652 7784 "GET /api/auth/login/? HTTP/1.1" 405 5562
WARNING 2026-04-21 13:36:32,370 log 28652 7784 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2026-04-21 13:36:32,371 log 28652 5844 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
